# Dataset: TUM
# Sequence: fr1desk
# Camera translation noise std: 0.07 m
# Camera rotation noise std: 0 m
# Landmark location noise std: 0.0 m

63 2913 13514
517.306408 516.469215 318.64304 255.313989
0 1     3.410000e+02 3.260000e+02
0 2     1.710720e+02 3.801600e+01
0 3     1.713600e+02 3.744000e+01
0 8     9.960001e+01 3.000000e+02
0 9     5.927040e+02 2.505600e+02
0 11     5.667841e+02 2.471040e+02
0 61     1.968000e+02 2.028000e+02
0 63     3.360000e+02 1.690000e+02
0 69     5.992705e+02 1.555200e+02
0 79     1.440000e+02 2.140000e+02
0 80     5.424539e+02 1.916007e+02
0 81     9.216000e+01 2.592000e+02
0 82     5.088000e+02 1.908000e+02
0 83     5.083200e+02 1.900800e+02
0 84     3.045704e+02 2.508227e+02
0 85     3.035751e+02 2.513204e+02
0 86     5.126400e+02 1.713600e+02
0 87     1.668000e+02 2.064000e+02
0 88     5.212800e+02 1.800000e+02
0 89     2.090000e+02 2.520000e+02
0 90     3.332359e+02 2.006582e+02
0 91     3.456000e+02 1.900800e+02
0 92     3.268800e+02 2.131200e+02
0 93     3.139200e+02 1.872000e+02
0 94     5.253121e+02 1.797120e+02
0 95     2.405376e+02 2.426112e+02
0 96     3.140000e+02 1.860000e+02
0 97     1.430784e+02 2.156544e+02
0 98     2.116800e+02 1.872000e+02
0 99     2.124000e+02 1.872000e+02
0 101     3.359232e+02 1.700352e+02
0 102     2.980800e+02 1.670400e+02
0 103     5.385600e+02 1.656000e+02
0 104     5.564161e+02 1.624320e+02
0 105     4.631040e+02 1.935360e+02
0 106     5.548954e+02 1.617408e+02
0 107     1.779840e+02 2.160000e+02
0 108     4.590000e+02 1.860000e+02
0 109     4.596000e+02 1.860000e+02
0 111     3.384116e+02 1.542759e+02
0 112     2.544000e+02 1.476000e+02
0 113     3.412800e+02 1.454400e+02
0 114     3.600000e+02 1.281600e+02
0 115     3.340000e+02 1.340000e+02
0 116     5.457600e+02 5.760000e+01
0 117     5.474305e+02 5.598721e+01
0 118     3.110000e+02 1.180000e+02
0 119     3.153600e+02 1.195200e+02
0 122     3.408000e+02 1.992000e+02
0 126     5.553931e+02 2.149909e+02
0 131     3.384000e+02 1.526400e+02
0 132     5.990400e+02 8.064000e+01
0 135     3.336000e+02 1.248000e+02
0 144     5.285193e+02 6.867764e+01
0 145     2.926265e+02 1.134674e+02
0 146     2.304000e+02 7.680000e+01
0 147     4.837295e+02 1.110786e+02
0 148     2.140000e+02 9.400000e+01
0 149     4.788000e+02 1.116000e+02
0 150     2.513204e+02 8.460289e+01
0 151     4.907520e+02 8.294401e+01
0 152     4.900000e+02 8.400000e+01
0 153     2.980800e+02 4.363200e+02
0 154     4.752000e+02 1.071360e+02
0 155     3.583182e+02 1.003291e+02
0 156     4.836000e+02 8.760001e+01
0 157     2.850000e+02 4.490000e+02
0 158     4.503860e+02 1.045095e+02
0 169     5.976000e+02 1.524000e+02
0 176     6.480000e+01 4.003200e+02
0 177     8.200000e+01 3.900000e+02
0 178     2.490000e+02 4.010000e+02
0 179     2.778624e+02 3.877632e+02
0 180     4.920000e+01 3.684000e+02
0 181     3.500000e+01 3.690000e+02
0 182     2.361600e+02 3.844800e+02
0 183     6.100000e+01 3.590000e+02
0 184     6.000000e+01 3.588000e+02
0 185     2.916000e+02 3.744000e+02
0 186     2.896405e+02 3.762341e+02
0 187     2.920320e+02 3.749760e+02
0 189     6.200000e+01 3.400000e+02
0 190     5.785345e+02 1.886976e+02
0 191     5.760000e+02 1.860000e+02
0 192     5.774400e+02 1.886400e+02
0 193     5.771520e+02 1.883520e+02
0 194     5.673371e+02 1.582572e+02
0 195     5.613651e+02 1.164534e+02
0 196     5.661427e+02 1.684095e+02
0 197     5.762950e+02 1.911030e+02
0 198     5.623604e+02 1.169511e+02
0 199     5.673371e+02 1.224254e+02
0 200     5.698254e+02 1.219277e+02
0 201     5.623604e+02 1.692058e+02
0 202     5.633281e+02 1.157760e+02
0 203     5.494211e+02 1.164534e+02
0 204     5.660000e+02 1.150000e+02
0 206     5.644800e+02 1.152000e+02
0 227     4.982400e+02 1.929600e+02
0 228     2.890000e+02 2.110000e+02
0 232     2.436564e+02 9.316272e+01
0 233     9.331201e+01 3.151873e+02
0 274     3.009872e+02 2.472395e+02
0 277     4.593600e+02 1.828800e+02
0 282     1.949184e+02 2.032128e+02
0 288     2.544059e+02 1.469104e+02
0 291     5.460480e+02 5.702401e+01
0 300     5.589763e+02 1.397441e+02
0 310     2.530000e+02 2.130000e+02
0 311     2.510000e+02 2.010000e+02
0 312     9.100000e+01 3.070000e+02
0 313     5.400000e+01 4.152000e+02
0 315     4.900000e+01 4.040000e+02
0 316     3.570000e+02 1.230000e+02
0 317     2.020000e+02 1.780000e+02
0 318     2.550000e+02 1.470000e+02
0 319     8.700000e+01 2.320000e+02
0 321     2.790000e+02 1.260000e+02
0 322     5.190000e+02 1.890000e+02
0 324     2.160000e+02 3.840000e+02
0 325     2.910000e+02 3.780000e+02
0 327     1.820000e+02 2.660000e+02
0 328     2.720000e+02 3.200000e+02
0 329     9.720001e+01 3.384000e+02
0 330     3.350000e+02 2.670000e+02
0 331     3.228000e+02 2.856000e+02
0 332     3.398400e+02 3.254400e+02
0 335     2.508000e+02 2.016000e+02
0 336     6.000000e+01 4.260000e+02
0 337     3.480000e+01 3.696000e+02
0 338     3.408000e+02 1.464000e+02
0 339     3.108000e+02 1.176000e+02
0 340     2.964000e+02 1.140000e+02
0 341     3.552000e+02 1.236000e+02
0 342     3.792000e+02 1.116000e+02
0 343     3.200000e+02 9.700000e+01
0 344     2.448000e+02 3.360000e+02
0 345     2.016000e+02 1.788000e+02
0 346     4.992000e+02 1.932000e+02
0 347     4.716000e+02 1.632000e+02
0 348     3.408000e+02 3.264000e+02
0 349     3.499200e+02 3.038400e+02
0 350     2.050000e+02 1.240000e+02
0 351     2.004000e+02 9.960001e+01
0 354     3.300000e+01 3.070000e+02
0 355     2.148000e+02 3.852000e+02
0 356     2.016000e+02 3.780000e+02
0 358     4.924800e+02 1.440000e+02
0 359     3.096000e+02 4.248000e+02
0 360     3.230000e+02 2.850000e+02
0 361     2.390400e+02 2.448000e+02
0 362     1.470000e+02 3.230000e+02
0 363     4.800000e+02 1.110000e+02
0 364     2.830000e+02 1.690000e+02
0 365     3.336000e+02 2.172000e+02
0 366     3.132000e+02 1.908000e+02
0 367     3.048000e+02 1.080000e+02
0 368     2.401920e+02 2.436480e+02
0 369     2.289600e+02 2.332800e+02
0 370     3.384000e+02 2.059200e+02
0 371     3.400704e+02 1.990656e+02
0 372     3.456000e+01 3.700800e+02
0 373     9.216000e+01 3.571200e+02
0 374     4.795200e+02 1.108800e+02
0 376     4.896000e+01 4.032000e+02
0 379     3.542400e+02 1.224000e+02
0 380     3.801600e+02 1.108800e+02
0 381     3.630000e+02 1.170000e+02
0 382     3.386880e+02 1.019520e+02
0 383     3.192000e+02 9.600000e+01
0 384     3.444000e+02 9.360001e+01
0 385     3.340800e+02 1.252800e+02
0 387     4.708800e+02 1.641600e+02
0 388     4.908000e+02 1.452000e+02
0 389     2.016000e+02 1.785600e+02
0 390     5.040000e+01 2.988000e+02
0 391     3.483648e+02 3.048192e+02
0 392     3.096000e+02 4.233600e+02
0 394     3.259700e+02 2.861568e+02
0 395     1.452000e+02 2.808000e+02
0 397     1.310400e+02 2.088000e+02
0 398     2.779200e+02 1.238400e+02
