# Dataset: TUM
# Sequence: fr1desk
# First orb kf index 2
# Camera translation noise std: 0.02 m
# Camera rotation noise std: 0.0 m
# Landmark location noise std: 0.0 m
# Landmarks initialised with av depth: 1.0 m

20 1216 3917
517.306408 516.469215 318.64304 255.313989
0 0     5.460480e+02 1.658880e+02
0 1     3.360000e+02 3.300000e+02
0 2     1.641600e+02 4.665601e+01
0 3     1.641600e+02 4.752000e+01
0 4     2.780000e+02 3.200000e+02
0 5     5.797786e+02 2.936218e+02
0 6     5.083200e+02 1.382400e+02
0 7     1.900000e+01 2.430000e+02
0 8     9.500000e+01 3.060000e+02
0 9     5.846400e+02 2.505600e+02
0 10     4.631040e+02 1.658880e+02
0 11     5.546880e+02 2.471040e+02
0 12     4.769280e+02 1.779840e+02
0 13     4.993921e+02 1.918080e+02
0 65     9.331201e+01 3.525120e+02
0 66     5.857921e+02 1.589760e+02
0 68     5.847553e+02 1.567642e+02
0 72     5.960000e+02 1.750000e+02
0 77     5.349889e+02 1.916007e+02
0 79     4.992000e+02 1.932000e+02
0 80     4.982400e+02 1.929600e+02
0 81     2.985985e+02 2.567947e+02
0 82     2.985985e+02 2.562970e+02
0 83     5.004000e+02 1.764000e+02
0 84     1.608000e+02 2.148000e+02
0 85     2.052000e+02 2.580000e+02
0 86     3.284583e+02 2.060329e+02
0 87     3.386880e+02 1.935360e+02
0 89     3.067200e+02 1.944000e+02
0 90     5.142529e+02 1.824768e+02
0 91     2.339021e+02 2.488320e+02
0 92     1.389312e+02 2.239488e+02
0 94     2.070000e+02 1.950000e+02
0 95     2.189722e+02 2.388788e+02
0 96     3.297025e+02 1.762560e+02
0 98     5.453569e+02 1.638144e+02
0 99     5.399655e+02 1.617408e+02
0 100     1.721088e+02 2.218752e+02
0 102     3.309466e+02 1.592525e+02
0 103     2.471040e+02 1.555200e+02
0 106     5.340000e+02 6.120000e+01
0 107     5.349889e+02 6.013441e+01
0 108     3.030000e+02 1.250000e+02
0 109     3.528000e+02 1.236000e+02
0 110     1.970750e+02 2.597807e+02
0 112     2.462400e+02 2.188800e+02
0 113     2.467584e+02 2.177280e+02
0 114     3.193344e+02 2.198016e+02
0 115     5.434492e+02 2.239488e+02
0 116     2.916000e+02 1.740000e+02
0 117     2.989440e+02 1.728000e+02
0 118     2.985985e+02 1.721088e+02
0 119     4.694400e+02 1.944000e+02
0 120     3.297600e+02 1.569600e+02
0 121     5.860800e+02 8.352000e+01
0 122     3.168000e+02 1.483200e+02
0 123     3.280000e+02 1.320000e+02
0 124     3.276000e+02 1.320000e+02
0 125     3.160167e+02 1.468109e+02
0 126     5.840640e+02 8.294401e+01
0 127     3.144000e+02 1.284000e+02
0 128     3.697920e+02 1.175040e+02
0 129     3.553322e+02 1.224254e+02
0 130     3.214081e+02 1.223424e+02
0 132     3.283200e+02 1.094400e+02
0 133     2.830713e+02 1.218282e+02
0 137     2.400000e+01 3.910000e+02
0 138     2.419200e+02 4.060800e+02
0 140     1.990656e+02 3.815424e+02
0 141     6.912000e+01 4.752000e+01
0 142     9.360001e+01 3.513600e+02
0 143     5.640000e+02 1.872000e+02
0 144     5.832000e+02 1.548000e+02
0 145     5.724000e+02 1.464000e+02
0 146     5.719681e+02 1.468800e+02
0 147     5.792810e+02 1.552712e+02
0 148     5.530000e+02 1.710000e+02
0 149     5.374081e+02 1.296000e+02
0 150     4.750000e+02 3.220000e+02
0 151     8.040000e+01 3.960000e+02
0 152     2.470000e+02 4.040000e+02
0 153     2.737152e+02 3.919105e+02
0 154     3.400000e+01 3.780000e+02
0 155     2.332800e+02 3.873600e+02
0 156     2.880000e+02 3.787200e+02
0 157     2.896405e+02 3.792200e+02
0 158     2.903040e+02 3.773953e+02
0 160     5.660929e+02 1.886976e+02
0 161     5.650000e+02 1.870000e+02
0 162     5.644800e+02 1.886400e+02
0 163     5.650560e+02 1.900800e+02
0 164     5.524072e+02 1.702011e+02
0 165     5.482268e+02 1.218282e+02
0 166     5.518100e+02 1.684095e+02
0 167     5.643511e+02 1.911030e+02
0 168     5.553931e+02 1.254114e+02
0 169     5.573838e+02 1.244160e+02
0 170     5.499188e+02 1.716941e+02
0 171     5.495041e+02 1.181952e+02
0 173     5.520000e+02 1.180000e+02
0 174     5.500800e+02 1.180800e+02
0 175     5.477761e+02 1.192320e+02
0 201     9.123841e+01 3.234817e+02
0 245     4.500000e+02 1.870000e+02
0 247     5.460000e+02 2.196000e+02
0 250     1.928448e+02 2.094336e+02
0 257     5.536513e+02 7.672321e+01
0 264     3.404023e+02 2.042413e+02
0 268     6.030721e+02 1.987200e+02
0 269     3.283201e+01 3.265920e+02
0 272     5.349889e+02 1.492992e+02
0 277     2.480000e+02 2.190000e+02
0 278     2.450000e+02 2.080000e+02
0 279     5.280000e+01 4.224000e+02
0 280     6.800000e+01 4.160000e+02
0 281     4.900000e+01 4.100000e+02
0 282     3.470000e+02 1.300000e+02
0 283     1.956000e+02 1.848000e+02
0 285     8.200000e+01 2.410000e+02
0 286     1.920000e+02 1.090000e+02
0 287     2.700000e+02 1.320000e+02
0 288     2.910000e+02 1.750000e+02
0 289     2.130000e+02 3.890000e+02
0 290     7.400000e+01 4.060000e+02
0 291     1.760000e+02 2.740000e+02
0 292     9.400000e+01 3.470000e+02
0 293     3.290000e+02 2.720000e+02
0 294     3.170000e+02 2.910000e+02
0 295     3.352320e+02 3.300480e+02
0 296     3.460000e+02 3.090000e+02
0 298     2.448000e+02 2.076000e+02
0 299     5.880000e+01 4.320000e+02
0 300     3.312000e+01 3.772800e+02
0 301     3.330000e+02 1.530000e+02
0 303     2.892000e+02 1.212000e+02
0 304     3.468000e+02 1.296000e+02
0 305     3.710000e+02 1.180000e+02
0 306     2.424000e+02 3.408000e+02
0 308     4.608000e+02 1.680000e+02
0 309     3.360000e+02 3.300000e+02
0 310     3.438720e+02 3.093120e+02
0 311     1.930000e+02 3.170000e+02
0 312     1.680000e+02 3.252000e+02
0 314     2.124000e+02 3.888000e+02
0 315     1.992000e+02 3.828000e+02
0 316     1.548000e+02 3.768000e+02
0 317     4.824000e+02 1.476000e+02
0 318     3.060000e+02 4.296000e+02
0 319     3.180000e+02 2.904000e+02
0 320     2.340000e+02 2.520000e+02
0 321     1.430000e+02 3.310000e+02
0 322     4.680000e+02 1.160000e+02
0 323     2.760000e+02 1.752000e+02
0 324     3.268800e+02 2.232000e+02
0 325     3.060000e+02 1.960000e+02
0 327     2.347200e+02 2.505600e+02
0 328     2.232000e+02 2.390400e+02
0 329     3.326400e+02 2.116800e+02
0 330     3.317761e+02 2.052864e+02
0 331     3.456000e+01 3.784320e+02
0 332     9.072000e+01 3.643200e+02
0 333     4.680000e+02 1.152000e+02
0 334     5.328000e+01 4.219200e+02
0 335     5.140800e+02 1.915200e+02
0 336     5.011200e+02 2.016000e+02
0 337     3.456000e+02 1.296000e+02
0 338     3.700800e+02 1.180800e+02
0 339     3.540000e+02 1.240000e+02
0 340     3.348000e+02 1.008000e+02
0 343     4.608000e+02 1.670400e+02
0 344     4.795200e+02 1.483200e+02
0 346     4.752000e+01 3.067200e+02
0 347     3.433882e+02 3.085517e+02
0 348     3.288000e+02 2.724000e+02
0 349     3.182400e+02 2.894400e+02
0 350     1.416000e+02 2.880000e+02
0 351     1.425600e+02 2.880000e+02
0 352     1.272000e+02 2.172000e+02
0 353     2.692800e+02 1.324800e+02
0 354     2.073600e+02 1.022400e+02
0 355     1.987200e+02 3.830400e+02
0 356     2.496000e+02 4.068000e+02
0 357     2.764800e+02 1.745280e+02
0 358     1.166400e+02 3.628800e+02
0 359     1.915200e+02 1.094400e+02
0 361     7.257600e+01 4.043521e+02
0 362     4.838400e+01 4.095360e+02
0 363     3.396000e+02 1.128000e+02
0 364     9.504001e+01 3.093120e+02
0 365     2.039040e+02 3.093120e+02
0 366     1.684800e+02 3.254400e+02
0 367     1.900800e+02 1.036800e+02
0 368     2.039040e+02 2.574720e+02
0 369     2.453760e+02 4.043521e+02
0 370     2.712960e+02 1.313280e+02
0 371     3.442177e+02 3.068929e+02
0 373     3.196800e+02 2.903040e+02
0 375     2.505600e+02 4.026240e+02
0 376     2.448000e+02 2.073600e+02
0 377     4.803840e+02 1.486080e+02
0 379     2.764800e+02 1.742400e+02
0 380     1.175040e+02 3.646080e+02
0 381     5.132161e+02 1.969920e+02
0 382     3.317761e+02 1.347840e+02
0 383     3.172608e+02 1.472256e+02
0 384     3.404160e+02 1.123200e+02
0 385     4.924800e+02 8.467200e+01
0 386     4.528743e+02 1.866240e+02
0 387     9.538561e+01 3.089664e+02
0 388     2.716416e+02 1.306368e+02
0 389     3.359232e+02 3.214081e+02
0 390     1.537920e+02 3.767040e+02
0 392     8.294402e+01 2.405376e+02
0 394     2.260224e+02 2.488320e+02
0 395     2.467584e+02 2.052864e+02
0 396     3.276288e+02 2.218752e+02
0 398     3.297025e+02 2.716416e+02
0 400     5.391361e+01 4.209409e+02
0 401     5.163265e+02 1.928448e+02
0 403     3.456000e+02 1.296000e+02
0 404     4.769281e+01 4.084993e+02
0 406     1.762560e+02 2.730240e+02
0 407     9.455617e+01 3.085517e+02
0 408     2.488320e+02 4.080845e+02
0 409     1.911030e+02 1.015235e+02
0 411     2.587853e+02 1.791591e+02
0 414     1.368576e+02 2.239488e+02
0 415     3.185050e+02 2.314138e+02
0 416     3.384116e+02 1.916007e+02
0 417     2.463437e+02 2.040423e+02
0 418     6.569166e+01 4.001219e+02
0 419     4.976641e+01 4.105728e+02
0 420     3.234817e+02 3.458765e+02
0 421     2.314138e+02 3.881780e+02
0 424     8.360757e+01 2.418647e+02
0 425     5.159781e+02 1.934918e+02
0 426     4.877108e+02 1.965773e+02
0 427     3.209933e+02 2.886452e+02
0 428     2.179769e+02 2.388788e+02
0 429     1.761731e+02 2.269348e+02
0 430     3.433882e+02 1.343693e+02
0 431     2.239488e+02 2.508227e+02
0 432     2.538087e+02 2.120049e+02
0 433     2.866545e+02 1.373553e+02
0 435     1.433273e+02 2.866545e+02
0 436     1.970750e+02 1.313833e+02
0 437     1.934918e+02 1.791591e+02
0 438     2.472395e+02 2.006582e+02
0 439     2.597807e+02 1.791591e+02
0 440     1.045095e+02 3.672761e+02
0 442     4.807435e+02 1.463132e+02
0 443     1.755759e+02 2.257404e+02
0 444     3.404023e+02 1.863254e+02
0 445     3.332359e+02 1.612432e+02
0 446     3.189032e+02 2.293236e+02
0 448     2.436564e+02 2.472395e+02
0 449     1.504936e+02 2.364900e+02
0 450     1.492992e+02 2.239488e+02
0 451     3.332359e+02 1.469104e+02
0 452     3.284583e+02 1.373553e+02
0 453     2.723218e+02 1.289945e+02
0 454     3.296527e+02 3.332359e+02
0 455     9.316272e+01 3.081536e+02
0 456     7.524681e+01 3.869836e+02
