# Dataset: TUM
# Sequence: fr1desk
# First orb kf index 5
# Camera translation noise std: 0.07 m
# Camera rotation noise std: 0.0 m
# Landmark location noise std: 0.0 m
# Landmarks initialised with av depth: 1.0 m

10 640 1801
517.306408 516.469215 318.64304 255.313989
0 37     3.583182e+02 1.899086e+02
0 44     3.657831e+02 2.811802e+02
0 46     2.820000e+02 2.800000e+02
0 47     3.941500e+02 2.418647e+02
0 48     3.912000e+02 2.520000e+02
0 50     2.836800e+02 2.246400e+02
0 51     2.961101e+02 2.662503e+02
0 52     2.563200e+02 2.520000e+02
0 53     3.956429e+02 2.015540e+02
0 54     3.248640e+02 1.952640e+02
0 55     3.248640e+02 2.488320e+02
0 56     3.660000e+02 2.112000e+02
0 58     3.168000e+02 1.212000e+02
0 59     3.553322e+02 1.702011e+02
0 60     4.104000e+02 1.598400e+02
0 61     3.214080e+02 1.175040e+02
0 62     3.209933e+02 1.169511e+02
0 63     3.131136e+02 1.223424e+02
0 64     3.195003e+02 1.254114e+02
0 65     1.200000e+02 2.412000e+02
0 66     3.024000e+02 3.888000e+02
0 68     3.110400e+02 3.873600e+02
0 74     9.648000e+01 1.310400e+02
0 77     1.100000e+02 2.450000e+02
0 78     4.176000e+01 3.283200e+02
0 79     1.071360e+02 2.453760e+02
0 80     4.147201e+01 3.276288e+02
0 81     2.508227e+02 1.045095e+02
0 82     2.560000e+02 1.030000e+02
0 83     2.513204e+02 1.045095e+02
0 84     2.540160e+02 1.036800e+02
0 85     4.727809e+01 3.259700e+02
0 86     9.504000e+01 3.225600e+02
0 87     9.840000e+01 3.228000e+02
0 88     1.433273e+02 3.224863e+02
0 89     3.654845e+02 2.794882e+02
0 90     3.540000e+02 2.480000e+02
0 91     3.255552e+02 2.467584e+02
0 92     1.057536e+02 2.446848e+02
0 93     3.990000e+02 2.490000e+02
0 94     3.220000e+02 1.180000e+02
0 95     1.816474e+02 3.259700e+02
0 96     1.836000e+02 3.276000e+02
0 97     1.368000e+02 2.556000e+02
0 98     1.318810e+02 2.662503e+02
0 99     4.305600e+02 1.670400e+02
0 100     4.590000e+02 1.550000e+02
0 116     9.000000e+01 4.512000e+02
0 117     1.137600e+02 4.507200e+02
0 118     1.382400e+02 4.458240e+02
0 119     1.192320e+02 4.423680e+02
0 120     1.220000e+02 4.420000e+02
0 122     8.659355e+01 4.180378e+02
0 123     1.390000e+02 4.160000e+02
0 124     1.510000e+02 4.160000e+02
0 126     1.094400e+02 3.916800e+02
0 127     1.572000e+02 3.912000e+02
0 129     4.896000e+01 3.844800e+02
0 131     1.296000e+02 3.657600e+02
0 132     9.745921e+01 1.306368e+02
0 134     4.046400e+02 3.499200e+02
0 136     5.971969e+01 3.613041e+02
0 137     3.642901e+02 2.806826e+02
0 139     2.730240e+02 2.401920e+02
0 140     3.254723e+02 1.940890e+02
0 146     4.032000e+02 3.516000e+02
0 147     1.392000e+02 3.264000e+02
0 148     2.544059e+02 1.039123e+02
0 149     4.031079e+02 3.404023e+02
0 150     1.390000e+02 4.000000e+02
0 153     4.680000e+02 1.800000e+02
0 154     1.570000e+02 3.920000e+02
0 157     3.100000e+02 1.530000e+02
0 158     2.600000e+02 2.910000e+02
0 160     3.240000e+02 2.376000e+02
0 161     3.708000e+02 1.716000e+02
0 163     4.112640e+02 3.300480e+02
0 164     2.780000e+02 3.260000e+02
0 165     1.392000e+02 3.180000e+02
0 166     3.920000e+02 2.560000e+02
0 168     3.124800e+02 2.736000e+02
0 169     2.976000e+02 2.664000e+02
0 170     3.988800e+02 2.491200e+02
0 171     4.017600e+02 2.390400e+02
0 172     1.454400e+02 3.643200e+02
0 173     4.164000e+02 1.752000e+02
0 174     3.729600e+02 1.526400e+02
0 176     2.799360e+02 2.177280e+02
0 177     3.984000e+02 3.000000e+02
0 178     3.888000e+02 3.132000e+02
0 179     2.330000e+02 3.020000e+02
0 180     2.328000e+02 3.012000e+02
0 181     3.444000e+02 1.776000e+02
0 183     4.682881e+02 1.797120e+02
0 186     3.260695e+02 4.048995e+02
0 187     4.105728e+02 3.297025e+02
0 188     2.463437e+02 2.413671e+02
0 189     3.888000e+02 3.124800e+02
0 190     3.248640e+02 2.367360e+02
0 192     2.142720e+02 3.611520e+02
0 193     3.571200e+02 1.713600e+02
0 194     3.214080e+02 1.589760e+02
0 196     1.848960e+02 2.574720e+02
0 197     4.678042e+02 1.791591e+02
0 198     3.981313e+02 2.488320e+02
0 199     3.974400e+02 3.006720e+02
0 200     3.670273e+02 2.820096e+02
0 201     1.596672e+02 3.919105e+02
0 202     3.711744e+02 1.741824e+02
0 204     3.255552e+02 4.043521e+02
0 206     4.060939e+02 3.314443e+02
0 207     3.255552e+02 1.949184e+02
0 208     3.433882e+02 1.761731e+02
0 210     4.031079e+02 2.239488e+02
0 211     3.753217e+02 1.534464e+02
0 212     3.234817e+02 2.363904e+02
0 213     1.617408e+02 3.906663e+02
0 215     3.089664e+02 3.877632e+02
0 216     1.841357e+02 2.612737e+02
0 218     2.926265e+02 2.657526e+02
0 219     2.562970e+02 2.538087e+02
0 220     4.538697e+02 1.612432e+02
0 221     4.299818e+02 1.702011e+02
0 222     3.209933e+02 1.592525e+02
0 224     3.254723e+02 2.478367e+02
0 225     2.322432e+02 3.006720e+02
0 226     2.762036e+02 2.164839e+02
0 227     3.224864e+02 2.329068e+02
0 229     2.579891e+02 2.544059e+02
0 230     3.792200e+02 2.538087e+02
0 231     4.013163e+02 1.899086e+02
0 232     3.439854e+02 1.755759e+02
0 233     1.791591e+02 3.732481e+02
0 234     2.920000e+02 3.280000e+02
0 236     2.640000e+02 2.892000e+02
0 237     4.060800e+02 2.419200e+02
0 238     1.100000e+02 2.700000e+02
0 239     1.092000e+02 2.688000e+02
0 244     1.451520e+02 3.646080e+02
0 245     3.108000e+02 3.876000e+02
0 253     2.970000e+02 2.670000e+02
0 254     2.944512e+02 2.674944e+02
0 255     1.074954e+02 2.687386e+02
0 256     4.060800e+02 2.246400e+02
0 257     3.920000e+02 2.090000e+02
0 258     3.715201e+02 1.866240e+02
0 259     3.691009e+02 1.866240e+02
0 260     4.116000e+02 1.596000e+02
0 261     4.095360e+02 1.589760e+02
0 262     2.974041e+02 1.469104e+02
0 263     4.389397e+02 1.283973e+02
0 264     4.190000e+02 1.340000e+02
0 265     4.348800e+02 2.102400e+02
0 273     2.478367e+02 2.418647e+02
0 409     3.939840e+02 2.021760e+02
0 410     2.508227e+02 2.508227e+02
0 586     9.504001e+01 3.231360e+02
0 620     3.530000e+02 1.680000e+02
0 621     3.224864e+02 1.254114e+02
0 622     3.990000e+02 3.000000e+02
0 625     2.124000e+02 2.868000e+02
0 633     1.848000e+02 2.568000e+02
1 0     2.664000e+02 2.316000e+02
1 36     2.419200e+02 2.401920e+02
1 37     4.801463e+02 1.827423e+02
1 44     4.837295e+02 2.759050e+02
1 45     3.640000e+02 2.280000e+02
1 46     4.000000e+02 2.690000e+02
1 47     5.195613e+02 2.388788e+02
1 49     3.490560e+02 2.315520e+02
1 50     4.056000e+02 2.148000e+02
1 51     4.105728e+02 2.562970e+02
1 52     3.749760e+02 2.401920e+02
1 53     5.200590e+02 1.990656e+02
1 54     4.464000e+02 1.884000e+02
1 55     4.458240e+02 2.401920e+02
1 57     5.198400e+02 2.001600e+02
1 59     4.777575e+02 1.642291e+02
1 60     5.391360e+02 1.589760e+02
1 61     4.458240e+02 1.123200e+02
1 64     4.449117e+02 1.104814e+02
1 65     2.532000e+02 2.184000e+02
1 68     4.248000e+02 3.744000e+02
1 69     3.309466e+02 3.359232e+02
1 70     7.632000e+01 3.758400e+02
1 72     7.962625e+01 3.757364e+02
1 73     8.087041e+01 3.732480e+02
1 74     2.460000e+02 1.128000e+02
1 76     1.790000e+02 2.910000e+02
1 77     2.450000e+02 2.210000e+02
1 78     1.800000e+02 2.904000e+02
1 79     2.419200e+02 2.211840e+02
1 80     1.824768e+02 2.882304e+02
1 81     3.911640e+02 9.256552e+01
1 82     3.912000e+02 9.360001e+01
1 83     3.881780e+02 9.455617e+01
1 84     3.905280e+02 9.331201e+01
1 85     1.841357e+02 2.886452e+02
1 86     2.289600e+02 2.908800e+02
1 88     2.662503e+02 2.936218e+02
1 89     4.837295e+02 2.776966e+02
1 92     2.426112e+02 2.198016e+02
1 93     5.210000e+02 2.490000e+02
1 94     4.470000e+02 1.120000e+02
1 95     3.041280e+02 3.024000e+02
1 96     3.048000e+02 3.024000e+02
1 97     2.664000e+02 2.304000e+02
1 98     2.612737e+02 2.405376e+02
1 99     5.564161e+02 1.676160e+02
1 100     5.910000e+02 1.550000e+02
1 113     3.283201e+01 4.216320e+02
1 118     2.609280e+02 4.008960e+02
1 121     2.125440e+02 3.732480e+02
1 122     2.179769e+02 3.732481e+02
1 125     2.470000e+02 3.690000e+02
1 126     2.364000e+02 3.540000e+02
1 127     2.796000e+02 3.576000e+02
1 128     2.360000e+02 3.460000e+02
1 129     1.860000e+02 3.396000e+02
1 131     2.580000e+02 3.324000e+02
1 132     2.471040e+02 1.140480e+02
