# Dataset: TUM
# Sequence: fr2robot2
# First orb kf index 20
# Camera translation noise std: 0.07 m
# Camera rotation noise std: 0.0 m
# Landmark location noise std: 0.1 m
# Landmarks initialised with av depth: None m

20 862 3551
520.90862 521.007327 325.141442 249.701764
0 0     4.095360e+02 4.233600e+02
0 1     4.512000e+02 4.392000e+02
0 2     4.603393e+02 3.877632e+02
0 7     1.728000e+02 3.744000e+02
0 9     1.332000e+02 3.120000e+01
0 10     1.812000e+02 4.260000e+02
0 13     5.510000e+02 2.980000e+02
0 15     4.920000e+02 4.560000e+02
0 16     4.920000e+02 4.560000e+02
0 17     7.430401e+01 2.816640e+02
0 18     4.204800e+02 2.764800e+02
0 21     5.477761e+02 2.972160e+02
0 23     5.155200e+02 4.075200e+02
0 24     5.947200e+02 3.945600e+02
0 25     2.908800e+02 3.974400e+02
0 26     3.456000e+02 3.024000e+01
0 27     4.507200e+02 4.392000e+02
0 28     4.510081e+02 4.389120e+02
0 33     4.610000e+02 3.900000e+02
0 34     4.613760e+02 3.542400e+02
0 36     3.430000e+02 1.310000e+02
0 37     3.398400e+02 4.464000e+02
0 51     1.987200e+02 1.022400e+02
0 52     2.142720e+02 3.283201e+01
0 54     4.560000e+02 4.212000e+02
0 56     1.952640e+02 3.490560e+02
0 59     6.100000e+01 2.330000e+02
0 60     4.800000e+01 2.430000e+02
0 61     1.764000e+02 1.440000e+02
0 62     1.730000e+02 1.380000e+02
0 63     5.520000e+01 1.440000e+02
0 64     1.488000e+02 5.520000e+01
0 66     1.176000e+02 5.040000e+01
0 67     1.470000e+02 9.900000e+01
0 70     1.560000e+02 1.980000e+02
0 74     2.480000e+02 3.300000e+01
0 75     2.376000e+02 1.308000e+02
0 78     4.300000e+01 4.100000e+02
0 79     7.560001e+01 3.828000e+02
0 80     1.310400e+02 3.398400e+02
0 81     3.984000e+02 3.792000e+02
0 82     3.730000e+02 4.220000e+02
0 83     3.400000e+02 4.470000e+02
0 85     1.730000e+02 3.750000e+02
0 86     2.904000e+02 3.972000e+02
0 88     2.280000e+02 4.270000e+02
0 89     3.700000e+02 2.720000e+02
0 91     3.900000e+02 3.228000e+02
0 92     8.760001e+01 9.600000e+01
0 94     2.172000e+02 1.500000e+02
0 95     1.548000e+02 1.992000e+02
0 96     1.728000e+02 1.368000e+02
0 97     1.598400e+02 9.936000e+01
0 98     1.356000e+02 1.020000e+02
0 100     1.915200e+02 1.900800e+02
0 101     1.656000e+02 1.956000e+02
0 102     9.792001e+01 4.320000e+01
0 103     8.496001e+01 4.464000e+01
0 104     1.728000e+02 3.749760e+02
0 105     4.250880e+02 3.611520e+02
0 107     3.528000e+02 3.960000e+02
0 108     6.960001e+01 9.480000e+01
0 109     3.686400e+02 2.707200e+02
0 110     6.739201e+01 4.320000e+01
0 111     1.368000e+02 2.904000e+02
0 113     1.512000e+02 2.340000e+02
0 114     1.080000e+02 1.944000e+02
0 117     2.289600e+02 1.612800e+02
0 118     1.152000e+02 9.504000e+01
0 119     2.040000e+02 6.120000e+01
0 120     1.175040e+02 4.164480e+02
0 121     1.175040e+02 5.011200e+01
0 122     8.467200e+01 4.492800e+01
0 124     6.048000e+01 2.836800e+02
0 125     4.176000e+01 4.075200e+02
0 126     7.464961e+01 3.815424e+02
0 127     2.940000e+02 2.568000e+02
0 128     3.732480e+02 4.216320e+02
0 129     4.219200e+02 3.528000e+02
0 132     1.368000e+02 2.620800e+02
0 133     1.512000e+02 2.332800e+02
0 134     1.094400e+02 2.433600e+02
0 135     1.347840e+02 9.953281e+01
0 136     5.328000e+01 3.744000e+01
0 137     2.280960e+02 1.762560e+02
0 138     1.728000e+02 1.382400e+02
0 140     1.929600e+02 9.072000e+01
0 141     1.741824e+02 3.757364e+02
0 142     8.916481e+01 1.451520e+02
0 143     7.050241e+01 9.331201e+01
0 145     3.981313e+02 3.794688e+02
0 146     1.223424e+02 2.716416e+02
0 149     1.965773e+02 9.704449e+01
0 150     2.923777e+02 3.960576e+02
0 152     1.638144e+02 1.016064e+02
0 153     1.965773e+02 8.957953e+01
0 154     2.073600e+02 6.842881e+01
0 157     1.542759e+02 2.314138e+02
0 158     3.379969e+02 1.202688e+02
0 159     2.164839e+02 1.094861e+02
0 161     4.250881e+02 3.608065e+02
0 162     1.069978e+02 3.632948e+02
0 163     1.169511e+02 4.976641e+01
0 165     8.957953e+01 1.418343e+02
0 168     1.094861e+02 2.413671e+02
0 169     1.069978e+02 1.940890e+02
0 170     1.716941e+02 1.468109e+02
0 172     1.373553e+02 2.567947e+02
0 173     1.397441e+02 2.293236e+02
0 175     1.469104e+02 2.364900e+02
0 176     1.755759e+02 1.361609e+02
0 179     3.583182e+02 3.941500e+02
0 180     3.440000e+02 3.900000e+02
0 181     3.421440e+02 3.888000e+02
0 183     1.741824e+02 3.732480e+02
0 184     2.700000e+01 3.840000e+02
0 188     3.090000e+02 1.400000e+02
0 190     1.520000e+02 2.960000e+02
0 192     1.092000e+02 3.624000e+02
0 193     3.888000e+02 3.214080e+02
0 202     3.576000e+02 3.948000e+02
0 203     4.104000e+02 4.236000e+02
0 204     3.945600e+02 4.147200e+02
0 205     3.642901e+02 2.538087e+02
0 207     5.266945e+02 8.916481e+01
0 208     5.544000e+02 4.464000e+02
0 209     4.147201e+01 4.064257e+02
0 210     3.636000e+02 3.936000e+02
0 211     3.240000e+01 3.768000e+02
0 213     3.756000e+02 3.120000e+02
0 215     3.990000e+02 3.800000e+02
0 218     3.374163e+02 1.403413e+02
0 219     2.160000e+02 3.360000e+01
0 222     5.163265e+02 4.084993e+02
0 223     3.260695e+02 9.674590e+01
0 224     3.720000e+02 3.750000e+02
0 227     5.150823e+02 4.080845e+02
0 232     5.200000e+02 4.120000e+02
0 235     4.544640e+02 4.216320e+02
0 236     4.608000e+02 3.900000e+02
0 237     3.359232e+02 1.144627e+02
0 242     5.400000e+02 3.156000e+02
0 244     1.236000e+02 2.724000e+02
0 246     3.468000e+02 3.000000e+01
0 247     3.470000e+02 3.000000e+01
0 248     7.600000e+01 3.830000e+02
0 250     5.196000e+02 4.116000e+02
